sector,var,coef,se,t
11,d0_375,-2.839898708293532,0.9576866158594675,-2.9653737049931412
11,d375_750,-2.8785873339936447,0.5768438564128697,-4.990236616012995
11,d750_1500,-3.1940246138732906,0.5213083391788064,-6.1269394211201265
11,d1500_3000,-3.3434019106428328,0.5304395243338899,-6.303078404350387
11,d3000_6000,-4.065964893165391,0.5368406035830071,-7.57387735955167
11,d6000_,-5.817667157068865,0.45962213589016837,-12.657499939165373
11,contig,1.0489722393610235,0.32747640221316515,3.2031994741355834
11,FTA,0.45257447926012284,0.32502525856944325,1.3924286415525704
11,CU,0.8997636317125401,0.350863042311132,2.564429772328839
12,d0_375,-4.403765594349755,0.6214249072862806,-7.086561131868199
12,d375_750,-5.193205147253741,0.37430317397547286,-13.87432837423398
12,d750_1500,-5.515202190116815,0.3382672170384516,-16.30427635998167
12,d1500_3000,-5.685182023676159,0.34419227205586894,-16.517459818950687
12,d3000_6000,-6.588811502251504,0.3483458124865713,-18.914570711268425
12,d6000_,-7.5156556081550265,0.2982401951247302,-25.200009022968295
12,contig,1.1139929325200004,0.21249330366920685,5.242484884390421
12,FTA,0.4713949317202555,0.21090280246941903,2.235128818587453
12,CU,0.7789840421780332,0.2276684563903025,3.421572116440167
13,d0_375,-3.3123689480406426,0.5215120925501232,-6.35147103079357
13,d375_750,-3.5430955073740007,0.31412263850276356,-11.279338300040509
13,d750_1500,-3.6332135313781553,0.2838805495730799,-12.798388395548919
13,d1500_3000,-3.8561679228433836,0.28885297311835056,-13.349933293791688
13,d3000_6000,-4.383575350248263,0.2923387065289511,-14.994851014756561
13,d6000_,-5.047273510736968,0.2502890798524144,-20.16577596478898
13,contig,0.7645038280027936,0.17832858990694564,4.287051383077287
13,FTA,0.410464090888974,0.17699380979243903,2.319087268477502
13,CU,0.6318565734016417,0.1910638786885078,3.3070435800780533
14,d0_375,-1.0121015096431583,0.5485871476769906,-1.844923844696205
14,d375_750,-1.7153130369135927,0.3304307699450693,-5.19114196658727
14,d750_1500,-2.0374227151575623,0.29861861919588123,-6.822825450884222
14,d1500_3000,-2.2156507342292016,0.3038491933066432,-7.291942131283453
14,d3000_6000,-2.4741651692430735,0.3075158936125425,-8.045649739198263
14,d6000_,-3.2598603919345095,0.26328319970401826,-12.381573893052156
14,contig,0.3857813371728831,0.18758677676665497,2.056548674818207
14,FTA,0.3389701393374378,0.18618269961052888,1.8206317775310021
14,CU,0.9558955879887265,0.20098323649850386,4.756096103546637
15,d0_375,-2.6856669486535276,0.5566482486469674,-4.824711036424742
15,d375_750,-3.0656052218559884,0.3352862169080426,-9.143248565737427
15,d750_1500,-3.054181002302496,0.3030066090550065,-10.079585431577346
15,d1500_3000,-3.298160938450404,0.3083140427608507,-10.697407451559645
15,d3000_6000,-3.904835649899322,0.3120346226399731,-12.514110187076062
15,d6000_,-4.403581424554048,0.26715196051166723,-16.483432935023256
15,contig,0.8198903607260328,0.19034323206195636,4.30743111716817
15,FTA,0.8426466205484848,0.18891852298294784,4.460370572686214
15,CU,1.0213348959489985,0.20393654331501923,5.008101438550669
16,d0_375,-3.479582229847214,0.9053033536106638,-3.8435538938074547
16,d375_750,-4.195414649952064,0.5452918199672432,-7.693888843232769
16,d750_1500,-4.055757546819509,0.49279396820246724,-8.230128225013456
16,d1500_3000,-4.38997903619124,0.5014256984641648,-8.754994109072326
16,d3000_6000,-4.914056547218749,0.5074766533537797,-9.683315507704723
16,d6000_,-5.8177206111302056,0.43448185880894097,-13.390019613427611
16,contig,0.8399396418105414,0.309564193800362,2.7132971404057753
16,FTA,1.2178485562620527,0.3072471220943411,3.9637427617242547
16,CU,1.6173891415508814,0.3316716383023136,4.876477077840029
17,d0_375,-3.164421784878397,1.102290946426763,-2.8707681897745165
17,d375_750,-4.27666117938014,0.6639434548797241,-6.441303318751555
17,d750_1500,-4.316269866125343,0.6000224426837903,-7.193514040607314
17,d1500_3000,-4.384577320889942,0.6105323762674001,-7.181563978139615
17,d3000_6000,-4.175908545540253,0.617899976050895,-6.758227395037628
17,d6000_,-5.502360974469426,0.5290220316114439,-10.401005337544808
17,contig,0.8026644422487842,0.3769231681326442,2.129517392696636
17,FTA,1.1201524857590357,0.37410191804715426,2.994244166419495
17,CU,0.30492954784256676,0.40384103585724945,0.7550732114067622
18,d0_375,-5.035308134417836,0.7635642584417027,-6.594478563852626
18,d375_750,-5.507869564743999,0.45991804016521654,-11.975763252873065
18,d750_1500,-5.688008274466526,0.41563953054445923,-13.684955006603019
18,d1500_3000,-5.956132270369574,0.42291983132988686,-14.083360081839384
18,d3000_6000,-6.5905950277976775,0.428023416625054,-15.397744076163479
18,d6000_,-6.97097671966289,0.36645707431069185,-19.022628319497834
18,contig,1.0455160603355491,0.2610971815541639,4.004317680153356
18,FTA,0.7040371292302281,0.25914288288520637,2.7167912982665183
18,CU,1.0041890676967247,0.2797433672772684,3.5896796319800495
