key,country,num_nodes,num_edges,ave_deg,density,ave_clust,ave_dist,diameter,links_supported,info_total,info_total_friend_only,info_expostIC,info_SP,comp_total,comp_supp,comp_trans,comp_by_three
27,India,150,514,6.8533333333333335,0.04599552572706935,0.18219619905378417,3.00510067114094,7,0.6750972762645915,0.28993288590604027,0.27498881431767336,0.15006711409395973,,0.27498881431767336,0.031051454138702462,0.11901565995525727,0.0017002237136465323
28,India,298,1374,9.221476510067115,0.03104874245813843,0.1915792723436154,2.886267597676994,6,0.7336244541484717,0.28538178202607734,0.2771111563057872,0.16457641289856054,,0.2771111563057872,0.02277811673784828,0.14179829616071227,0.0009038935213431858
29,India,270,1126,8.34074074074074,0.03100647115517004,0.21766954207972725,3.019055486713479,6,0.7300177619893428,0.24609665427509295,0.23772545779980725,0.1339116067740603,,0.23772545779980725,0.022635274679884344,0.11127633209417596,0.0003855156271513149
30,India,134,602,8.985074626865671,0.06755695208169678,0.3061877837176873,2.540118954101672,5,0.867109634551495,0.47357198967568176,0.4645943216249579,0.36684996072270226,,0.4645943216249579,0.058579284030972956,0.3082706766917293,0.000561104253170239
31,India,144,601,8.347222222222221,0.058372183372183375,0.31296529326809497,2.936771561771562,6,0.8602329450915142,0.33284770784770784,0.3246891996891997,0.24553224553224554,,0.3246891996891997,0.050213675213675216,0.1953185703185703,0.0011655011655011655
32,India,227,1171,10.317180616740089,0.04565124166699154,0.2401824134570687,2.6683170246774006,6,0.8462852263023057,0.41440879497875327,0.4073915246968929,0.31643990487700285,,0.4073915246968929,0.03863397138513119,0.27780593349187166,0.0003508635140930178
33,India,194,758,7.814432989690721,0.04048929010202446,0.24694550181453825,3.0028310453501414,6,0.7889182058047494,0.2722076812136104,0.2636611292131831,0.17258693445862935,,0.2636611292131831,0.03194273810159714,0.1406441963570322,0.0002136638000106832
34,India,144,504,7.0,0.04895104895104895,0.3555172055420238,3.1318958818958818,7,0.8134920634920635,0.25893550893550893,0.2498057498057498,0.16462703962703962,,0.2498057498057498,0.039821289821289824,0.12480574980574981,0.0003885003885003885
35,India,187,688,7.358288770053476,0.03956069231211546,0.3119481570760091,3.1793456385486745,7,0.8125,0.24610430682536943,0.2386866770168478,0.15117014547754587,,0.2386866770168478,0.03214306250359381,0.11902708297395205,0.0005175090564084871
36,India,269,1496,11.12267657992565,0.041502524551961385,0.2586490661480223,2.7273761304999167,5,0.8556149732620321,0.3702768684458747,0.3642845253287466,0.27409421295011926,,0.3642845253287466,0.03551018143483327,0.238584031515286,0.00044387726793541584
