country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot,DWLgasPC,DWLdiePC,DWLtotPC,EXPgas,EXPdie,EXPtot
Belize,0.8516699999999999,4057.151146,344700.0,,,5.450994049331496,4.58034916645216,2.817,3.009,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Benin,-34.84499,741.0730348,8849892.0,20.999330360950683,13.595946947030717,4.693911542479899,4.769619793165059,3.574082506851597,3.7660825068515966,185.84180576673458,120.32266211895156,469.96374651935395,307.2116554757087,218.85960596762436,138.64486539833058,-208.11105013118464,-120.74827782486423,-225.25677004615835,-129.36337141853997,0.0,0.0,0.0,0.0,0.0,0.0,664.2139470325983,453.1450729839987,1117.359020016597
Bermuda,-4.53796,89739.30912,64237.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Bhutan,-1.99819,2183.442333,725940.0,,,4.504640915767,3.2554547794618656,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,,,0.0,,,,,
Bolivia,-7.78143,1978.854327,9929849.0,23.610287099986344,30.451476823686004,2.649788773980588,2.044122768499311,3.574082506851597,3.7660825068515966,234.44658574951228,302.3785666862016,420.69821175874955,464.3604137476319,195.91690963126737,209.56622547624713,216.69750990127977,520.6837175743109,197.4731712310076,427.8619573088992,0.019224338670272175,0.09282176026541168,0.11204609893568386,1.936015207308004,9.347751437651436,11.283766644959439,837.9314409184148,1138.7826304437629,1976.7140713621775
Bosnia and Herzegovina,-28.01414,4427.347194,3760149.0,22.05073161284218,59.36238146509897,6.018805929470194,6.132368305497933,3.574082506851597,3.7660825068515966,82.91403642329692,223.21139930361042,243.40767165616484,662.6638941061956,113.35365228213679,299.06074449037834,-202.70188690788544,-528.1819642681102,-234.77047087880837,-606.3176805101876,0.0,0.0,0.0,0.0,0.0,0.0,296.34160715296167,840.6325462471939,1136.9741534001555
Botswana,-19.35723,7426.628358,2006945.0,57.6173743477997,39.304198769085325,4.656057417137319,4.731765667822479,3.574082506851597,3.7660825068515966,115.63490136044486,78.88136519862195,291.00465129675115,200.4418283865957,135.51931141337525,90.4595571864695,-125.11406202536566,-76.17440608670383,-135.1138497403077,-81.42494945075458,0.0,0.0,0.0,0.0,0.0,0.0,413.28867813387586,297.07372959110245,710.3624077249783
Brazil,-23.52496999999994,10992.94249,194946470.0,27.44516449168285,46.38448178935836,5.261723422618596,3.861120784943143,3.574082506851597,3.7660825068515966,5350.337936222915,9042.490987614696,14489.654275797218,20338.368749172783,6747.754585102847,9178.722054943766,-9029.449214350157,-859.3827731212276,-10087.41703701303,-865.8133339087344,0.0,0.0,0.0,0.0,0.0,0.0,19122.549223598795,34054.76712681892,53177.31635041772
Brunei,144.72567999999998,31007.993729999995,398920.0,187.14128299100904,99.5850913412082,1.6277273897309328,0.9842072589070756,2.817,3.009,74.65440061077332,39.72648463783477,100.00101677413929,39.348852754189735,53.71954277416926,20.317897359162696,88.78443388244705,80.43789772382742,74.52734839183351,55.09364650575785,0.014257085490613533,0.025344251218069568,0.0396013367086831,35.739209592433404,63.53216489037794,99.27137448281135,210.30144652054847,119.53699227524483,329.8384387957933
Bulgaria,-101.06994,6334.682132,7534289.0,24.497479796662365,54.09318918173379,6.397347182895992,6.359493057553411,3.574082506851597,3.7660825068515966,184.57109255971548,407.55372022685594,562.035354257501,1236.6259631735068,261.73686179771147,558.090284519913,-521.0930458427652,-1056.9541180141039,-613.2405497037416,-1225.0524914712043,0.0,0.0,0.0,0.0,0.0,0.0,659.6723131881661,1534.8809363486519,2194.553249536818
Burkina Faso,-11.65636,559.198999,16468714.0,,,5.413139923988916,4.845328043850219,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Burma (Myanmar),-4.85523,,47963012.0,2.7420883490977994,0.6435505169317407,3.9368290356283024,3.028330027406387,3.574082506851597,3.7660825068515966,131.51881639283795,30.866621166203284,299.27871111459905,60.00825714244529,139.37249686629227,27.081774359829218,-47.70799411532284,22.771926297462464,-49.09573030186959,21.294702372159957,0.0,0.001477223925302507,0.001477223925302507,0.0,0.030799231818521053,0.030799231818521053,470.05910099146917,116.24624201965342,586.3053430111225
Burundi,-1.42918,241.7868565,8382849.0,,,5.5645564253592354,5.5645564253592354,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Cambodia,-26.25466,795.166471,14138255.0,3.5501673640485585,9.09666160980546,5.110306921248277,4.807473918507639,3.574082506851597,3.7660825068515966,50.19317148559635,128.6109214881401,133.571200190617,329.9347138968343,62.20339432317728,148.89979980619668,-77.10797547217241,-133.93430908291862,-85.45612031246216,-143.81179841411247,0.0,0.0,0.0,0.0,0.0,0.0,179.3945361700723,484.3593416065485,663.7538777766208
Cameroon,28.81387,1144.249782,19598889.0,5.543476405966616,7.116291097378156,4.1639537876837815,3.823266659600563,2.817,3.009,108.64597875465864,139.47139930920267,255.69203361112545,311.85011744426834,137.35519477377235,161.0247372968409,-146.3411126001991,-113.56691042532073,-163.66812768588935,-121.78229105129311,0.0,0.0,0.0,0.0,0.0,0.0,306.0557221518734,419.6694405213908,725.7251626732642
Canada,1493.23472,46211.53386,34126547.0,286.33967923965855,140.51192340559726,4.996744545220538,4.656057417137319,2.817,3.009,9771.784521537133,4795.186758161515,25655.835951376263,12067.478192521907,13782.057635572368,6231.078319646504,-21299.994007891044,-7897.94791658858,-25007.636614134473,-8943.37552020062,0.0,0.0,0.0,0.0,0.0,0.0,27527.116997170106,14428.716955307998,41955.833952478104
Cape Verde,-2.64622,3344.8722100000005,495999.0,,,8.706448828793361,5.9809518041276135,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Cayman Islands,-3.75386,,56230.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Central African Republic,-2.31756,451.2594423,4401051.0,,,6.473055433581151,6.397347182895992,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Chad,123.97425,760.7122667000001,11227208.0,,,3.596141907545084,4.39107853973926,2.817,3.009,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Chile,-310.85003,12639.52426,17113688.0,51.10344195003793,56.296381179460745,5.905243553442454,4.693911542479899,3.574082506851597,3.7660825068515966,874.5683612590608,963.4387030343631,2538.262014831405,2436.3800198331032,1182.055059614502,1099.540248191045,-2038.759696347923,-893.9064027233557,-2349.44216666547,-953.3418858832579,0.0,0.0,0.0,0.0,0.0,0.0,3125.779481021877,3628.3896459215052,6754.169126943382
China,-5041.13255,4433.36122,1337705000.0,15.899054379267833,15.671209438214332,5.1860151719334375,4.845328043850219,3.574082506851597,3.7660825068515966,21268.244538418476,20963.4552215465,57099.448671658036,54032.71328306747,26590.908191964187,24385.006645133035,-34282.97810042519,-22624.715487924524,-38148.34761608162,-24347.176313155254,0.0,0.0,0.0,0.0,0.0,0.0,76014.4607562035,78950.10199303304,154964.56274923653
Colombia,526.45754,6186.024868,46294841.0,19.117718648692716,23.175387670939248,4.845328043850219,4.46678679042442,2.817,3.009,885.0517451239641,1072.9008873394928,2281.1958562923287,2633.641993062466,1225.435523872034,1359.8888900293614,-1795.1752748935126,-1564.0607409981517,-2090.7854254004988,-1751.2846022608428,0.0,0.0,0.0,0.0,0.0,0.0,2493.190766014207,3228.3587700045337,5721.549536018741
Comoros,-0.87707,739.5078761,734750.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Costa Rica,-48.42914999999999,7773.858272,4658887.0,47.59494139259483,45.08898909292832,5.943097678785034,5.148161046590857,3.574082506851597,3.7660825068515966,221.73945371972198,210.06450512818554,646.0270371285283,561.4924872900381,300.8513397842675,253.40200781756025,-525.3041300782536,-290.32564449861314,-606.3793050273121,-317.7825843238124,0.0,0.0,0.0,0.0,0.0,0.0,792.5151026184876,791.1202580736971,1583.6353606921848
Croatia,-56.90926,13461.39641,4418000.0,45.803774878103184,75.23489848513312,6.70018018563663,6.435201308238571,3.574082506851597,3.7660825068515966,202.36107741145986,332.3877815073181,633.5470489590737,1015.7394803080401,295.03947596822536,458.40403844382683,-632.6004943724031,-887.1824769724883,-753.400628319118,-1031.4871403624668,0.0,0.0,0.0,0.0,0.0,0.0,723.2551868439405,1251.7998094259212,1975.0549962698617
Cuba,-114.89894,,11257979.0,7.477785277712443,3.604900204348805,5.299577547961176,4.921036294535378,3.574082506851597,3.7660825068515966,84.18474962299585,40.583890797654554,228.96978454869702,105.58144988406879,106.63000539075828,47.6489926304074,-145.26036801153086,-46.8725183956961,-162.59793002540306,-50.66190493560117,0.0,0.0,0.0,0.0,0.0,0.0,300.88324097123103,152.8422811930223,453.72552216425333
