country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot
Haiti,-14.11079,663.9062502,9993247.0,3.878294278528831,6.234694931647099,4.731765667822479,3.8989749102857223,4.684082506851597,4.8760825068515965,38.756752664025406,62.304846421597574,98.4830111236466,140.95876763449107,38.992995260141406,54.4815515119727,-1.848044475987387,60.87853874141312,-1.853661660368025,56.82876821662532,0.0,0.004049770524787796,0.004049770524787796
Honduras,-46.37079,2018.750027,7600524.0,19.8953218239393,17.710984729382936,4.731765667822479,4.3532244143966805,4.684082506851597,4.8760825068515965,151.21487101057443,134.6127644993085,384.2451908417563,325.36653103967035,152.13660441813218,125.75644437439158,-7.210403035588394,70.38337326619127,-7.232319263166181,67.9980640750155,0.0,0.0023853091911757644,0.0023853091911757644
Hong Kong,-382.09929,32374.48028,7067800.0,16.40575280288012,56.93557871685324,8.176491073997244,5.943097678785034,4.684082506851597,4.8760825068515965,115.95257966019611,402.4092832549754,409.09163123853625,1172.3997358757106,161.97421114409468,453.1407139452488,-404.95378258790697,-429.376810559919,-473.46165904351744,-455.0154220588064,0.0,0.0,0.0
Hungary,-115.61876,12863.13383,10000023.0,40.91687100232169,69.22109675237543,6.965159063034689,7.230137940432748,4.684082506851597,4.8760825068515965,409.16965111125,692.2125596089796,1311.179157556018,2268.440668939955,519.1433739935885,876.7682154910191,-933.3472986514874,-1629.506737140635,-1045.5532677124509,-1823.9953298842493,0.0,0.0,0.0
Iceland,-12.74291,39522.04942,318041.0,147.8312181901669,102.44412967443684,7.532970943173386,7.797949820571445,4.684082506851597,4.8760825068515965,47.016388464418874,32.58143344578757,157.91705685935068,111.7270801697636,62.525089143356176,43.18329945488145,-133.9444454138961,-95.19862541938534,-153.25102964922098,-108.75763008114532,0.0,0.0,0.0
India,-2404.8575,1397.100108,1224614327.0,3.681559442679059,7.776964083584983,4.731765667822479,3.2554547794618656,4.684082506851597,4.8760825068515965,4508.490439206911,9523.781637322596,11456.318797508673,19336.435977461402,4535.972036934036,7473.668012590164,-214.9790753483861,15434.504591050169,-215.63251043607016,13594.95352108558,0.0,1.8395510699645892,1.8395510699645892
Indonesia,-423.1236300000001,2951.699149,239870937.0,25.0213560898437,15.31531734482116,1.779143891101252,1.779143891101252,4.684082506851597,4.8760825068515965,6001.896130281464,3673.699521954604,8480.376217978619,5190.751952670369,3357.6884571156074,2006.262005841242,17435.139836577193,11377.221912204794,12623.632325545586,8116.647521540881,4.811507511031606,3.260574390663913,8.072081901695519
Iran,2512.0348,,73973630.0,74.41475550176783,64.31292998731058,1.2491861363051344,0.4693911542479899,3.9270000000000005,4.119,5504.729590028237,4757.460887097218,6290.892780696021,3022.0118784783563,2768.6989917585256,1292.4718468621013,14740.641212068971,17362.87133686921,9990.622631659528,7726.453700351913,4.750018580409444,9.636417636517299,14.386436216926743
Iraq,1745.18282,2532.323671000001,32030823.0,51.88050241955994,38.37661641938567,2.952621776721227,2.119831019184471,3.9270000000000005,4.119,1661.7751901519962,1229.234607868236,3181.9764559490063,1929.3700143837489,1400.4268253337889,825.1643362257494,1619.1975572690478,2457.4476981951175,1482.2063215698677,1982.7056232492876,0.13699123569918015,0.47474207494582993,0.61173331064501
Ireland,-161.471,45873.18513,4474356.0,101.81368733641122,142.2508983119727,7.646533319201126,7.495116817830807,4.684082506851597,4.8760825068515965,455.55068281579554,636.4811603675649,1543.886796527705,2131.339318838479,611.2807666249857,823.7775828878517,-1349.546490374036,-1666.9659972945137,-1550.2348225321869,-1884.2329696186455,0.0,0.0,0.0
Israel,-233.32224,28522.40858,7623600.0,105.0510251620258,49.11074592265529,7.608679193858546,8.025074572626925,4.684082506851597,4.8760825068515965,800.8669954252199,374.40068261595485,2706.1132033623608,1306.189168076865,1071.448345335762,504.8512670704396,-2342.212961553807,-1178.984778978509,-2686.9689843938645,-1357.242415278572,0.0,0.0,0.0
Italy,-1350.7609200000002,33786.64289,60483385.0,50.83198619174507,105.43558518367918,8.6307405781082,8.252199324682405,4.684082506851597,4.8760825068515965,3074.4905911500005,6377.101091364763,11204.745742882615,22623.777828127513,4436.36514215401,8744.248675149147,-12133.963106564635,-21529.83824356378,-14387.075864200959,-24968.578297841817,0.0,0.0,0.0
Jamaica,-55.858630000000005,4966.207956,2701200.0,54.09892572614567,20.20886684703481,4.5424950411095795,4.504640915767,4.684082506851597,4.8760825068515965,146.1320181714647,54.58819112721042,362.34482183958033,134.67742673634103,143.46545418669746,52.05376923599397,20.690462116664172,20.27632456672108,20.500141005538595,19.795685794946824,0.00019032111112557713,0.00048063877177425597,0.0006709598828998332
Japan,-4432.9884,43063.13637,127450459.0,106.63184581858116,50.7041728494744,7.570825068515966,6.094514180155353,4.684082506851597,4.8760825068515965,13590.2776935954,6462.270102880851,45784.055332370466,19113.867070815166,18127.567711386902,7387.643570436604,-39231.63304293972,-7873.834574793954,-44946.480605225435,-8404.092993351856,0.0,0.0,0.0
Jordan,-103.92333999999998,4369.998242,6047000.0,56.002161107776935,29.208808576784985,5.450994049331496,3.671850158230243,4.684082506851597,4.8760825068515965,338.6450682187271,176.62566546381882,936.7639732927347,385.464849733156,370.89882563211285,148.98486571085135,-259.71081162083453,212.69833994830398,-271.57887685139843,194.79879949367847,0.0,0.01789954045462551,0.01789954045462551
Kazakhstan,1400.12888,9070.009729,16323287.0,66.94811858807283,11.818476405402732,3.823266659600563,2.536226397952849,3.9270000000000005,4.119,1092.8133538231475,192.91638226811716,2443.468513418198,337.195616475035,1075.4004312796708,144.21380812001814,113.3611796251876,305.3429572564129,112.45158199238614,261.84263585098245,0.0009095976328014643,0.04350032140543044,0.0444099190382319
Kenya,-81.93814,794.7672094,40512682.0,4.328482173632777,6.652517625107167,5.1860151719334375,4.769619793165059,4.684082506851597,4.8760825068515965,175.35842184305346,269.5113310453619,470.78964082265315,688.1249194607568,186.4026904099564,265.9651036641148,-88.01812002022942,28.692907672360104,-90.71463706257128,28.50302593335726,0.0,0.00018988173900284265,0.00018988173900284265
Kiribati,-0.42024,1422.6184510000005,99546.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
"Korea, North",-12.3266,,24346229.0,1.591899618347572,1.8782509457030716,,4.958890419877958,4.684082506851597,4.8760825068515965,38.756752653302584,45.72832764355355,,119.51324150424215,,46.19270537509272,,-3.7866673783483638,,-3.8058081125468983,,0.0,
