ms_center,st_id,date,present,att_tot,att_per,tk,gp,cp,sgi_sch_mat,sgi_sch_hin,sgi_att_mat,sgi_att_hin,sgi_att_mat_tot,sgi_att_hin_tot,mean_attend,cal_att_mat_tot,cal_att_hin_tot,cal_att_tot,treat,strata,m_theta_mle1_z,h_theta_mle1_z,m_theta_mle2_z,h_theta_mle2_z,st_female1,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK,TK310,2015-10-17,0.0,19.0,0.22093023,Orientation,Orientation,Orientation,,,0.0,0.0,4.0,6.0,0.27795526,10.0,6.0,16.0,1.0,13.0,-0.2685992,-0.18785526,0.45353532,-0.38960508,0.0,0.12410065,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK314,2015-10-17,0.0,64.0,0.74418604,Orientation,Orientation,Orientation,,,0.0,0.0,20.0,24.0,0.27795526,38.0,18.0,56.0,1.0,12.0,0.85308564,0.27075028,1.5343134,0.56039613,0.0,-2.106704,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK315,2015-10-17,0.0,2.0,0.023255814,Orientation,Orientation,Orientation,,,0.0,0.0,1.0,1.0,0.27795526,0.0,0.0,,1.0,12.0,1.7205081,0.004291453,,,0.0,-0.8792201,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK316,2015-10-17,0.0,62.0,0.7209302,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,21.0,0.27795526,35.0,22.0,57.0,1.0,12.0,1.4360268,0.004291453,1.6707742,1.4495931,0.0,-1.816513,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK317,2015-10-17,0.0,4.0,0.046511628,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,1.0,1.0,1.0,12.0,0.50479406,-0.20654209,,,0.0,-0.59600693,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK318,2015-10-17,0.0,28.0,0.3255814,Orientation,Orientation,Orientation,,,0.0,0.0,8.0,10.0,0.27795526,16.0,10.0,26.0,1.0,12.0,0.01644107,0.1480708,-0.060556646,-0.8699991,0.0,-1.4011551,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK319,2015-10-17,0.0,70.0,0.81395346,Orientation,Orientation,Orientation,,,0.0,0.0,19.0,24.0,0.27795526,36.0,24.0,60.0,1.0,12.0,-0.23719926,-0.25252986,-0.2997751,0.16487549,0.0,-0.7398703,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK329,2015-10-17,0.0,76.0,0.88372093,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,25.0,0.27795526,41.0,25.0,66.0,1.0,13.0,1.0902122,0.3515951,1.5947173,0.07807862,0.0,-1.3184066,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK330,2015-10-17,0.0,1.0,0.011627907,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,1.0,0.27795526,0.0,0.0,,1.0,13.0,1.3875953,0.576677,,,0.0,-1.4011551,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK331,2015-10-17,0.0,47.0,0.54651165,Orientation,Orientation,Orientation,,,0.0,0.0,11.0,15.0,0.27795526,25.0,20.0,45.0,1.0,13.0,1.2056719,0.7661861,1.4502561,0.8598968,0.0,-2.106704,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK332,2015-10-17,0.0,2.0,0.023255814,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,1.0,0.27795526,1.0,0.0,1.0,1.0,19.0,1.5703276,0.093384095,,,0.0,0.5336551,0.0,0.0,0.0,0.0,0.0,1.0
TK,TK333,2015-10-17,0.0,54.0,0.627907,Orientation,Orientation,Orientation,,,0.0,0.0,14.0,19.0,0.27795526,28.0,20.0,48.0,1.0,12.0,0.20503096,-0.49944025,0.9672754,-0.5125137,0.0,-0.6318316,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK341,2015-10-17,0.0,82.0,0.95348835,Orientation,Orientation,Orientation,,,0.0,0.0,23.0,27.0,0.27795526,39.0,29.0,68.0,1.0,14.0,-1.1814892,1.4532477,0.08624969,1.7572974,1.0,1.2895874,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK342,2015-10-17,0.0,75.0,0.872093,Orientation,Orientation,Orientation,,,0.0,0.0,19.0,26.0,0.27795526,42.0,23.0,65.0,1.0,12.0,0.28335834,-0.73150694,0.87642205,-0.48897,0.0,-2.174028,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK343,2015-10-17,0.0,53.0,0.61627907,Orientation,Orientation,Orientation,,,0.0,0.0,17.0,18.0,0.27795526,25.0,18.0,43.0,1.0,17.0,-0.1761871,-0.3292231,0.38932773,0.6394497,1.0,-1.3373805,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK346,2015-10-17,0.0,35.0,0.40697673,Orientation,Orientation,Orientation,,,0.0,0.0,12.0,11.0,0.27795526,17.0,11.0,28.0,1.0,17.0,0.07798147,0.23021334,,,1.0,0.9176349,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK348,2015-10-17,0.0,78.0,0.90697676,Orientation,Orientation,Orientation,,,0.0,0.0,20.0,26.0,0.27795526,38.0,28.0,66.0,1.0,14.0,0.08381154,-0.3137998,1.2417912,1.1912907,1.0,0.92924875,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK349,2015-10-17,0.0,1.0,0.011627907,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,17.0,-1.6439867,0.2915097,-0.45172226,0.027198762,1.0,-0.64522284,0.0,0.0,0.0,0.0,1.0,0.0
