Country,year,Gross.Debt,GDP.capita.PPP,Reer.YoY,Overshoot,Developed,Center.Target,CPI,Revenue,deviation,DebtRev,Overshoot_y,GDP.Gap
Australia,2017,41.0697834908,48905.417195415175,0.030498954486291474,0.0,0,2.5,2.0,35.017849816027,-0.5,14.381755102575797,0.0,0.1776257744056685
Australia,2018,41.456682773369,51036.40588969213,-0.04000293805688082,0.0,0,2.5,1.8,35.770376069311,-0.7,14.829211333895362,0.0,0.19703967156900298
Australia,2019,45.04768032217,,-0.04458327802101736,0.0,0,2.5,1.8,34.643046451556,-0.7,15.605888819357807,0.0,-0.20602328500849465
Israel,2000,79.579023057735,24928.94548299737,,0.0,0,3.5,0.0,43.834656713682,-3.5,34.88319157345998,0.0,3.0383211307889675
Israel,2001,83.670047752227,24921.59625605352,-0.009772366409296795,0.0,0,3.0,1.4,43.588008677765,-1.6,36.47010767493083,0.0,0.74056619003572
Israel,2002,90.159463702883,25224.878737427793,-0.09577836165788733,1.0,0,2.5,6.5,43.266693442437,4.0,39.00901876967165,1.0,-0.9005670275525322
Israel,2003,92.771559417242,23818.48604667964,-0.05018325071234908,0.0,0,2.0,-1.9,41.87323615911,-3.9,38.8464541632708,0.0,-1.825183494184715
Israel,2004,91.232028458029,25208.036241056605,-0.061273608213348485,0.0,0,2.0,1.2,40.94148391619,-0.8,37.35174625755783,0.0,-0.9269214214327305
Israel,2005,88.110727033099,24831.449918269645,-0.02564866068732108,0.0,0,2.0,2.4,41.037542660552,0.3999999999999999,36.15847719473052,0.0,-0.47039429818572076
Israel,2006,80.009208183628,25665.066426038935,-0.004202392836293423,0.0,0,2.0,-0.1,41.999907677234,-2.1,33.603793570409714,0.0,0.31593888565896827
Israel,2007,72.95598510847,27460.31043794668,0.012046484489186993,1.0,0,2.0,3.4,41.100310852107,1.4,29.985136664798066,1.0,1.9828939586133627
Israel,2008,71.814646917338,27433.063493125548,0.1154856188857103,1.0,0,2.0,3.8,38.648763138673,1.7999999999999998,27.75547278595629,1.0,0.09952692661021878
Israel,2009,74.540313081082,27484.870971532408,-0.02589165234959423,1.0,0,2.0,3.9,35.829797153644,1.9,26.707642974642848,1.0,-1.2943814551307953
Israel,2010,70.614604573759,28824.19399216021,0.04369774531001558,0.0,0,2.0,2.7,36.911499068419,0.7000000000000002,26.06490910941081,0.0,0.06660970740684449
Israel,2011,68.797704926093,30539.96336664799,0.01151281803457005,0.0,0,2.0,2.2,36.96759408415,0.20000000000000018,25.432856296289334,0.0,0.9266707969476697
Israel,2012,68.451405562553,31693.917871933,-0.051133001107883436,0.0,0,2.0,1.6,36.153889034568,-0.3999999999999999,24.747845209687526,0.0,-0.72702076936588
Israel,2013,67.110022543198,34145.712599096325,0.0656917978194742,0.0,0,2.0,1.8,36.437857303956,-0.19999999999999996,24.453454250943192,0.0,0.3705056163204715
Israel,2014,65.850049251655,34212.944488898574,0.008243882720405216,0.0,0,2.0,-0.2,36.640200126189,-2.2,24.127589829000414,0.0,0.5530365771555336
Israel,2015,63.892102110658,35436.81087308876,-0.013424622443844902,0.0,0,2.0,-1.0,36.845806958722,-3.0,23.54156060556259,0.0,-1.0783128785291283
Israel,2016,62.048196213563,37843.97781079834,0.015547406590693758,0.0,0,2.0,-0.2,36.540127591191,-2.2,22.672490064468466,0.0,-0.09593375284935748
Israel,2017,60.507016998871,38966.66269345488,0.04667906901696983,0.0,0,2.0,0.4,37.692917282238,-1.6,22.806859867334133,0.0,0.2560797629145465
Israel,2018,60.872466778595,40261.3380291629,-0.0197808092960019,0.0,0,2.0,0.8,36.004367888031,-1.2,21.916746881484798,0.0,0.2298583907975597
Israel,2019,61.41888180411,,0.024886285020862653,0.0,0,2.0,0.6,35.237639908093,-1.4,21.642564405709535,0.0,-0.042967138206979893
Czech.Republic,2000,17.038715336222,16194.628109304065,,,0,,4.0,37.390124288001,,6.370796841292093,,0.4491399531160763
Czech.Republic,2001,22.801578781992,17554.659344696225,0.06242373012491709,,0,,4.1,37.718709080566,,8.600461166555625,,0.3751491254700673
Czech.Republic,2002,25.921897164575,18189.234354155422,0.11515116697527694,0.0,0,4.0,0.7,38.456484156734,-3.3,9.968650276219666,0.0,-1.0957361716189913
Czech.Republic,2003,28.300316469434,19426.386273910673,-0.017523442189063543,0.0,0,3.666666666666667,1.0,42.460526718432,-2.666666666666667,12.016463435904836,0.0,-1.6678670176351325
Czech.Republic,2004,28.531460493645,20799.25126905361,0.009823190465508835,0.0,0,3.3333333333333335,2.7,40.173665216409,-0.6333333333333333,11.462133420068938,0.0,-1.559853111230961
Czech.Republic,2005,27.881416176942,21956.383858385296,0.05551732029573575,0.0,0,3.0,2.3,39.281779614944,-0.7000000000000002,10.952316456151703,0.0,-0.19222486101136427
Czech.Republic,2006,27.703073162761,23772.472126091707,0.053494330568375936,0.0,0,3.0,1.7,39.185031419398,-1.3,10.855457922966714,0.0,1.972920133638965
Czech.Republic,2007,27.464892345728,26122.988283092833,0.027528759028708105,1.0,0,3.0,5.4,39.720794965362,2.4000000000000004,10.909273576104022,1.0,3.6937669359902454
Czech.Republic,2008,28.250147796399,27844.795326465617,0.1497710422743459,0.0,0,3.0,3.7,38.657275620962,0.7000000000000002,10.920737496983083,0.0,2.2149073133269273
Czech.Republic,2009,33.560476784986,27620.19886226773,-0.04038064198581892,0.0,0,3.0,1.0,38.749707727618,-2.0,13.004586666177165,0.0,-2.04629656577973
Czech.Republic,2010,37.354661140139,27688.142660985624,0.006771065132892717,0.0,0,2.0,2.3,39.324622255243,0.2999999999999998,14.689579388085711,0.0,0.1435462272276151
Czech.Republic,2011,39.826216515381,28797.417961169096,0.018879079659150033,0.0,0,2.0,2.4,40.310331192648,0.3999999999999999,16.054079778851154,0.0,0.6373916606491408
Czech.Republic,2012,44.469658455651,29047.24643959492,-0.03393556184779456,0.0,0,2.0,2.4,40.549745905823,0.3999999999999999,18.032333508953812,0.0,-1.323024423628093
Czech.Republic,2013,44.908602171528,30485.714154111276,-0.020067107566950293,0.0,0,2.0,1.4,41.354955238099,-0.6000000000000001,18.57193232609136,0.0,-2.2502857305743427
Czech.Republic,2014,42.169378242654,32263.31575489967,-0.05765050538936778,0.0,0,2.0,0.1,40.334680254412,-1.9,17.00888387944807,0.0,-1.4270444290768451
Czech.Republic,2015,39.955215466004,33691.424239260756,-0.02444194654544618,0.0,0,2.0,0.0,41.083967628585,-2.0,16.415187787984472,0.0,0.49588495967921886
Czech.Republic,2016,36.805509239743,35876.72743761214,0.02547407434601845,0.0,0,2.0,2.0,40.201405623753,0.0,14.796332061356972,0.0,-0.47994617385677124
Czech.Republic,2017,34.662957200402,38489.496310012466,0.04189919515954288,0.0,0,2.0,2.4,40.512083073869,0.3999999999999999,14.042686016886513,0.0,1.9457178719856274
Czech.Republic,2018,32.592425063247,40428.67299159448,0.046514801093894276,0.0,0,2.0,2.0,41.529045622888,0.0,13.535323074121429,0.0,1.2481588969838717
Czech.Republic,2019,30.790830267315,,0.002512798371921976,1.0,0,2.0,3.2,42.12661182884,1.2000000000000002,12.971133545588765,1.0,-0.9190616514375431
Poland,2000,36.583160705985,10655.425485273998,,,0,,8.5,39.240197856465,,14.355304643177073,,0.926695325582555
Poland,2001,37.351785703749,11102.083506011635,0.12533080760729787,,0,,3.6,40.28509276598,,15.047201520505341,,-0.05903637691811599
Poland,2002,41.778680135916,11781.056352439515,-0.04187838821185641,,0,,0.8,40.555907550892,,16.943722891904972,,-0.827017429784833
Poland,2003,46.587779130661,12257.334853984532,-0.10530496682629187,,0,,1.7,39.714751811616,,18.50222085628585,,-0.43070762939039475
Poland,2004,45.043323501543,13341.15826668095,-0.010623079465418406,1.0,0,2.5,4.4,38.546207608779,1.9000000000000004,17.362492990798707,1.0,-0.7381137374691665
Poland,2005,46.44142112152,13895.92354169062,0.11122180308666674,0.0,0,2.5,0.7,40.27057856186,-1.8,18.702228977985957,0.0,-1.2579175625951717
Poland,2006,46.948384454775,15139.626695136269,0.019681884501569158,0.0,0,2.5,1.4,40.870447450135,-1.1,19.188014797276168,0.0,-0.020969590868498533
Poland,2007,44.156307603078,16786.7490490813,0.03421061118861091,1.0,0,2.5,4.0,41.037671544603,1.5,18.12072048037571,1.0,1.6302041502583529
Poland,2008,46.294773561266,18310.443208668483,0.09086039338742546,0.0,0,2.5,3.3,40.416290615911,0.7999999999999998,18.710630222499198,0.0,0.5712718702354985
Poland,2009,49.433585043354,19261.022455043756,-0.15178373717714866,0.0,0,2.5,3.5,37.577185319903,1.0,18.575749862012984,0.0,-0.4219188086101595
Poland,2010,53.127047804753,21064.085181108934,0.05419816430142932,0.0,0,2.5,3.1,38.410702514783,0.6000000000000001,20.406472287170224,0.0,0.368419611507373
Poland,2011,54.103591348077,22850.638846028618,-0.015730456621641076,1.0,0,2.5,4.6,39.00017098284,2.0999999999999996,21.10049313360706,1.0,1.89853607819538
Poland,2012,53.715887962427,23833.209704918507,-0.02790605003055191,0.0,0,2.5,2.4,39.117853122157,-0.10000000000000009,21.012502156404608,0.0,-0.20632462208563923
Poland,2013,55.691804341312,24719.247505351945,0.006061625928205139,0.0,0,2.5,0.7,38.412802738616,-1.8,21.39278294320416,0.0,-1.0154411139265491
Poland,2014,50.414431275902,25612.257831143987,0.006268855942058282,0.0,0,2.5,-1.0,38.748388484274,-3.5,19.53477968292384,0.0,-0.687306202050128
Poland,2015,51.29263389957,26856.035219263318,-0.04391373182939129,0.0,0,2.5,-0.5,39.061467760823,-3.0,20.035655654357505,0.0,-0.6689024630515896
Poland,2016,54.234791044347,28283.1543485005,-0.04057238881929903,0.0,0,2.5,0.8,38.738902349812,-1.7,21.00996274229417,0.0,-1.0694074248802232
Poland,2017,50.601922345239,30143.329026303734,0.033557246844907684,0.0,0,2.5,2.1,39.762574865485,-0.3999999999999999,20.12062725590024,0.0,-0.059209750024978
Poland,2018,48.942636150878,31755.771886714352,0.016651956677026014,0.0,0,2.5,1.1,41.406196814586,-1.4,20.265284250879265,0.0,1.25074295564008
Poland,2019,46.701536041071,,-0.013126415699789784,0.0,0,2.5,3.4,42.053858781785,0.8999999999999999,19.639798015636426,0.0,0.33013172810548647
Brazil,2000,65.562687325422,9060.786399429924,,0.0,0,6.0,6.0,31.163161500966,0.0,20.431406135594628,0.0,0.5619284678836678
Brazil,2001,70.056206014445,9260.76595917983,-0.164994240214676,1.0,0,4.0,7.7,33.062540689433,3.7,23.162361618998883,1.0,-0.22130217490824428
Brazil,2002,78.865700063502,9568.063847307392,-0.046962564938380136,1.0,0,3.5,12.5,34.525230666262,9.0,27.228564863486397,1.0,0.25579541114882504
Brazil,2003,73.89608026663,9733.770816475662,-0.054841670386745256,1.0,0,4.0,9.3,35.848972270609,5.300000000000001,26.49098532385116,1.0,-1.1342959124388403
Brazil,2004,70.166734883149,10445.344510285433,0.0495699903789224,0.0,0,5.5,7.6,35.33804514891,2.0999999999999996,24.795552452523175,0.0,0.3038957956479045
Brazil,2005,68.659284147081,10988.958683122646,0.21528533341458767,0.0,0,4.5,5.7,36.261123709249,1.2000000000000002,24.896627962457828,0.0,-0.43002312516921404
