survey,imposed,voluntary,want_share_fb,want_share_facts,see_facts,age,age_sqrd,male_raw,male,educ,income,religion_q8,q13,q14,q15,neg_image_ue,vote_2nd,second_mlp,share_interest,share_reciprocity,share_image,share_influence,gave_charity,gave_homeless,donated_blood,worked_charity,altruism,reciprocity,image
1,0,0,0,0,0,60,3600,1,1,4,2,1,1,100.0,3,1,1,0,4.0,1.0,1.0,4.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,36,1296,2,0,4,1,2,1,90.0,3,1,7,0,5.0,2.0,2.0,2.0,0,1,0,1,0.5,5,5
1,0,0,1,0,0,44,1936,1,1,4,1,1,1,1230.0,3,1,1,0,4.0,4.0,4.0,4.0,1,1,1,0,0.75,4,4
1,0,0,0,0,0,29,841,2,0,1,1,1,1,350.0,3,4,7,0,4.0,2.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,38,1444,1,1,9,2,1,2,50.0,3,3,4,0,3.0,3.0,4.0,2.0,0,0,1,1,0.5,2,4
1,0,0,0,0,0,53,2809,1,1,4,1,1,2,13.0,2,1,7,0,2.0,1.0,1.0,3.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,23,529,2,0,2,1,1,2,148.0,2,1,7,0,3.0,1.0,1.0,2.0,1,1,1,1,1.0,5,4
1,0,0,0,0,0,21,441,1,1,6,1,1,1,23.0,2,3,7,0,3.0,3.0,4.0,4.0,0,0,0,0,0.0,4,4
1,0,0,0,0,0,35,1225,2,0,5,1,1,1,64.0,2,3,1,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,43,1849,1,1,1,1,1,1,15.0,1,8,7,0,,,,,1,0,1,1,0.75,5,5
1,0,0,0,0,0,52,2704,2,0,7,1,1,3,25.0,2,1,1,0,2.0,2.0,3.0,3.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,48,2304,2,0,5,1,1,1,69.0,2,3,1,0,3.0,2.0,4.0,2.0,1,1,1,1,1.0,3,3
1,0,0,0,0,0,56,3136,1,1,7,1,1,3,15.0,2,1,7,0,5.0,1.0,1.0,1.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,53,2809,2,0,1,1,1,1,100.0,3,1,1,0,4.0,3.0,4.0,4.0,1,0,1,1,0.75,5,5
1,0,0,0,0,0,29,841,2,0,1,1,1,1,20.0,3,3,7,0,3.0,2.0,2.0,5.0,1,1,1,1,1.0,5,5
1,0,0,0,0,0,36,1296,1,1,5,1,1,1,100.0,3,3,4,0,3.0,2.0,3.0,4.0,0,0,0,0,0.0,2,3
1,0,0,0,0,0,54,2916,1,1,1,2,2,1,20.0,2,1,7,0,3.0,3.0,3.0,3.0,0,0,0,0,0.0,3,3
1,0,0,0,0,0,32,1024,1,1,5,1,1,1,60.0,2,1,7,0,3.0,2.0,3.0,3.0,0,0,0,1,0.25,4,3
1,0,0,0,0,0,41,1681,2,0,3,2,1,1,150.0,3,8,7,0,4.0,3.0,4.0,4.0,0,1,0,1,0.5,4,4
1,0,0,1,0,0,46,2116,1,1,6,1,1,1,89.0,3,5,7,0,4.0,4.0,4.0,4.0,0,0,0,1,0.25,3,4
1,0,0,0,0,0,83,6889,1,1,2,1,1,1,3.0,2,1,1,0,5.0,1.0,5.0,5.0,0,0,1,0,0.25,5,5
1,0,0,0,0,0,26,676,1,1,4,1,1,1,100.0,2,3,7,0,3.0,2.0,5.0,1.0,0,1,0,1,0.5,5,5
1,0,0,0,0,0,49,2401,1,1,4,1,1,1,30.0,2,8,1,0,3.0,1.0,2.0,3.0,1,1,0,0,0.5,3,3
1,0,0,0,0,0,34,1156,1,1,1,2,1,1,20.0,3,1,1,0,2.0,3.0,3.0,3.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,46,2116,2,0,1,2,1,4,,2,8,7,0,4.0,1.0,2.0,3.0,1,0,0,1,0.5,5,4
1,0,0,0,0,0,56,3136,1,1,4,1,1,1,80.0,3,3,7,0,4.0,3.0,3.0,3.0,0,0,1,0,0.25,5,2
1,0,0,0,0,0,41,1681,1,1,8,1,1,1,150.0,3,3,7,0,3.0,4.0,4.0,4.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,24,576,2,0,6,2,2,1,101.0,3,3,4,0,4.0,3.0,2.0,5.0,1,0,1,1,0.75,5,5
1,0,0,0,0,0,45,2025,2,0,5,1,1,3,150.0,3,3,1,0,5.0,5.0,5.0,5.0,0,0,0,0,0.0,5,5
1,0,0,0,0,0,37,1369,1,1,1,1,1,1,500.0,3,3,7,0,5.0,4.0,2.0,4.0,0,1,0,1,0.5,5,5
1,0,0,0,0,0,40,1600,2,0,1,1,1,1,300.0,3,3,7,0,4.0,4.0,4.0,4.0,1,1,1,1,1.0,5,5
